dispatching_base_num,capacity_minutes,entity_name,base_type,Street,City,State,Postcode,mean_duration_min,service_factor,sample_trip_count,source_sample_trip_count
B00706,173.0,"VIC & BAY CAR SERVICE, INC",LIVERY BASE,VAN DUZER STREET,STATEN ISLAND,NY,10304.0,14.135075493612078,0.85,12,28
B00965,353.0,BEN JEVO MGT. INC.,LIVERY BASE,TOMPKINS AVENUE,STATEN ISLAND,NY,10304.0,23.357142857142858,1.15,12,19
B01087,483.0,ELITE LIMO PLUS INC,BLACK CAR BASE,GALE AVENUE,LIC,NY,11101.0,29.371608040201007,1.15,12,19
B01710,315.0,"79 MASADA III, INC.",LIVERY BASE,WEST    7 STREET  2ND FL,BROOKLYN,NY,11223.0,25.17571288102261,1.15,12,33
B02784,371.0,SMILE TRANSPORTATION GROUP INC,BLACK CAR BASE,48TH AVE,LONG ISLAND CIT,NY,11101.0,27.01390101892286,1.15,12,22
B02795,337.0,LIMO SEVEN TRANSPORTATION INC,BLACK CAR BASE,EAST 5TH STREET  1ST FLOOR,BROOKLYN,NY,11218.0,27.3741980474198,1.15,12,23
B02803,103.0,OUTSIDE'S CAR SERVICE INC.,LIVERY BASE,LAFONTAINE AVENUE,BRONX,NY,10457.0,9.155927835051546,0.85,12,19
B03160,246.0,"CURB TRANSPORTATION SERVICES,LLC",BLACK CAR BASE,34 AVENUE,ASTORIA,NY,11106.0,18.308243727598565,0.954373741573596,12,27
B03266,102.0,HOYT LIMO & SERVICE CORP.,BLACK CAR BASE,ASTORIA BOULEVARD,LONGISLAND CITY,NY,11102.0,10.699736495388668,0.85,12,24
B03380,119.0,ELECTRIC PEPPERS LLC,BLACK CAR BASE,SOUTH 5TH STREET  SUITE 301,BROOKLYN,NY,11211.0,10.579118028534367,0.85,12,25
