dispatching_base_num,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,affiliated_base_number,duration_min,original_base,pu_borough,pu_zone_name,service_zone_x,do_borough,do_zone_name,service_zone_y,task_id
B01710,2022-01-03 10:40:45,2022-01-03 10:59:39,21,29,B01710,18.9,B01710,Brooklyn,Bensonhurst East,Boro Zone,Brooklyn,Brighton Beach,Boro Zone,0
B01710,2022-01-03 13:18:44,2022-01-03 13:30:50,133,165,B01710,12.1,B01710,Brooklyn,Kensington,Boro Zone,Brooklyn,Midwood,Boro Zone,1
B00706,2022-01-03 13:34:54,2022-01-03 13:47:42,206,206,B00706,12.8,B00706,Staten Island,Saint George/New Brighton,Boro Zone,Staten Island,Saint George/New Brighton,Boro Zone,2
B02784,2022-01-03 10:15:19,2022-01-03 10:39:07,210,77,B02784,23.8,B02784,Brooklyn,Sheepshead Bay,Boro Zone,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,3
B01087,2022-01-03 21:04:30,2022-01-03 21:15:06,230,140,B01087,10.6,B01087,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Lenox Hill East,Yellow Zone,4
B02795,2022-01-03 11:42:18,2022-01-03 11:56:31,75,243,B02795,14.216666666666669,B02795,Manhattan,East Harlem South,Boro Zone,Manhattan,Washington Heights North,Boro Zone,5
B02803,2022-01-03 09:00:00,2022-01-03 09:09:40,137,7,B02803,9.666666666666666,B02803,Manhattan,Kips Bay,Yellow Zone,Queens,Astoria,Boro Zone,6
B00706,2022-01-03 11:30:58,2022-01-03 11:44:09,221,115,B00706,13.183333333333334,B00706,Staten Island,Stapleton,Boro Zone,Staten Island,Grymes Hill/Clifton,Boro Zone,7
B01710,2022-01-03 05:23:08,2022-01-03 05:38:03,155,21,B01710,14.916666666666666,B01710,Brooklyn,Marine Park/Mill Basin,Boro Zone,Brooklyn,Bensonhurst East,Boro Zone,8
B03266,2022-01-03 09:37:33,2022-01-03 09:50:00,179,223,B03266,12.45,B03266,Queens,Old Astoria,Boro Zone,Queens,Steinway,Boro Zone,9
B00965,2022-01-03 15:24:00,2022-01-03 15:54:00,221,206,B00965,30.0,B00965,Staten Island,Stapleton,Boro Zone,Staten Island,Saint George/New Brighton,Boro Zone,10
B02795,2022-01-03 13:19:54,2022-01-03 13:42:52,51,119,B02795,22.966666666666665,B02795,Bronx,Co-Op City,Boro Zone,Bronx,Highbridge,Boro Zone,11
B00706,2022-01-03 04:27:28,2022-01-03 04:51:19,206,23,B00706,23.85,B00706,Staten Island,Saint George/New Brighton,Boro Zone,Staten Island,Bloomfield/Emerson Hill,Boro Zone,12
B01710,2022-01-03 15:42:13,2022-01-03 15:55:07,210,165,B01710,12.9,B01710,Brooklyn,Sheepshead Bay,Boro Zone,Brooklyn,Midwood,Boro Zone,13
B03160,2022-01-03 11:47:00,2022-01-03 12:00:00,158,265,B03404,13.0,B03160,Manhattan,Meatpacking/West Village West,Yellow Zone,,Outside of NYC,,14
B03160,2022-01-03 22:21:00,2022-01-03 22:34:00,234,142,B03404,13.0,B03160,Manhattan,Union Sq,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone,15
B03380,2022-01-03 09:36:13,2022-01-03 09:58:00,87,138,B03380,21.78333333333333,B03380,Manhattan,Financial District North,Yellow Zone,Queens,LaGuardia Airport,Airports,16
B00706,2022-01-03 16:37:27,2022-01-03 16:44:50,245,245,B00706,7.383333333333334,B00706,Staten Island,West Brighton,Boro Zone,Staten Island,West Brighton,Boro Zone,17
B03160,2022-01-03 09:04:00,2022-01-03 09:21:00,42,244,B03404,17.0,B03160,Manhattan,Central Harlem North,Boro Zone,Manhattan,Washington Heights South,Boro Zone,18
B03266,2022-01-03 11:50:21,2022-01-03 12:03:20,7,7,B03266,12.983333333333333,B03266,Queens,Astoria,Boro Zone,Queens,Astoria,Boro Zone,19
B02795,2022-01-03 08:35:31,2022-01-03 08:44:00,21,22,B02795,8.483333333333333,B02795,Brooklyn,Bensonhurst East,Boro Zone,Brooklyn,Bensonhurst West,Boro Zone,20
