run,epsilon,f1,f2
0,22.0,936.0,21.0
0,20.764705882352942,917.0,17.0
0,19.529411764705884,905.0,16.0
0,18.294117647058822,942.0,12.0
0,17.058823529411764,916.0,17.0
0,15.823529411764707,915.0,12.0
0,14.588235294117647,933.0,13.0
0,13.352941176470587,1016.0,11.0
0,12.117647058823529,932.0,9.0
0,10.882352941176471,960.0,7.0
0,9.647058823529411,990.0,9.0
0,8.411764705882351,998.0,7.0
0,7.1764705882352935,1003.0,7.0
0,5.9411764705882355,1115.0,5.0
0,4.705882352941174,1101.0,4.0
0,3.470588235294116,1115.0,3.0
0,2.235294117647058,1168.0,1.0
0,1.0,1093.0,2.0
1,22.0,915.0,17.0
1,20.764705882352942,920.0,14.0
1,19.529411764705884,929.0,17.0
1,18.294117647058822,922.0,18.0
1,17.058823529411764,928.0,14.0
1,15.823529411764707,930.0,10.0
1,14.588235294117647,957.0,12.0
1,13.352941176470587,982.0,12.0
1,12.117647058823529,957.0,9.0
1,10.882352941176471,948.0,10.0
1,9.647058823529411,954.0,9.0
1,8.411764705882351,997.0,7.0
1,7.1764705882352935,996.0,6.0
1,5.9411764705882355,1019.0,4.0
1,4.705882352941174,1112.0,4.0
1,3.470588235294116,1093.0,3.0
1,2.235294117647058,1063.0,2.0
1,1.0,1069.0,1.0
2,22.0,910.0,22.0
2,20.764705882352942,911.0,16.0
2,19.529411764705884,936.0,19.0
2,18.294117647058822,911.0,16.0
2,17.058823529411764,977.0,16.0
2,15.823529411764707,957.0,15.0
2,14.588235294117647,965.0,13.0
2,13.352941176470587,931.0,10.0
2,12.117647058823529,957.0,7.0
2,10.882352941176471,999.0,10.0
2,9.647058823529411,999.0,9.0
2,8.411764705882351,968.0,3.0
2,7.1764705882352935,987.0,6.0
2,5.9411764705882355,993.0,5.0
2,4.705882352941174,1067.0,4.0
2,3.470588235294116,1014.0,2.0
2,2.235294117647058,1153.0,2.0
2,1.0,1169.0,3.0
3,22.0,914.0,18.0
3,20.764705882352942,934.0,20.0
3,19.529411764705884,945.0,18.0
3,18.294117647058822,912.0,14.0
3,17.058823529411764,938.0,14.0
3,15.823529411764707,931.0,14.0
3,14.588235294117647,926.0,10.0
3,13.352941176470587,937.0,13.0
3,12.117647058823529,955.0,10.0
3,10.882352941176471,995.0,9.0
3,9.647058823529411,1034.0,9.0
3,8.411764705882351,963.0,8.0
3,7.1764705882352935,992.0,4.0
3,5.9411764705882355,949.0,4.0
3,4.705882352941174,1043.0,4.0
3,3.470588235294116,1091.0,3.0
3,2.235294117647058,1260.0,2.0
3,1.0,1238.0,1.0
